Serial No,Date,User Name,Bank Name,Account Number,Statement Period,Ending Balance,Daily Balance
1,2024-01-30,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-31_2024-02-01,260018.88,266619
2,2024-01-30,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-31_2024-02-01,260018.88,266619
3,2024-01-30,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-31_2024-02-01,260018.88,266619
4,2024-01-30,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-31_2024-02-01,260018.88,266619
5,2024-01-30,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-31_2024-02-01,260018.88,266619
6,2024-01-30,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-31_2024-02-01,260018.88,266619
7,2024-01-30,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-31_2024-02-01,260018.88,266619
8,2024-01-27,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-31_2024-02-01,260018.88,306997
9,2024-01-27,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-31_2024-02-01,260018.88,306997
10,2024-01-26,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-31_2024-02-01,260018.88,320225
11,2024-01-24,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-31_2024-02-01,260018.88,327882
12,2024-01-21,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-31_2024-02-01,260018.88,247296
13,2024-01-19,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-31_2024-02-01,260018.88,253110
14,2024-01-19,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-31_2024-02-01,260018.88,253110
15,2024-01-18,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-31_2024-02-01,260018.88,85110
16,2024-01-18,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-31_2024-02-01,260018.88,85110
17,2024-01-17,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-31_2024-02-01,260018.88,85110
18,2024-01-30,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-31_2024-02-01,260018.88,266619
19,2024-01-30,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-31_2024-02-01,260018.88,266619
20,2024-01-30,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-31_2024-02-01,260018.88,266619
21,2024-01-30,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-31_2024-02-01,260018.88,266619
22,2024-01-30,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-31_2024-02-01,260018.88,266619
23,2024-01-30,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-31_2024-02-01,260018.88,266619
24,2024-01-30,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-31_2024-02-01,260018.88,266619
25,2024-01-27,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-31_2024-02-01,260018.88,306997
26,2024-01-27,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-31_2024-02-01,260018.88,306997
27,2024-01-26,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-31_2024-02-01,260018.88,320225
28,2024-01-24,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-31_2024-02-01,260018.88,327882
