Serial No,Date,User Name,Bank Name,Account Number,Statement Period,Ending Balance,Daily Balance
1,2024-01-31,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,296294
2,2024-01-31,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,296294
3,2024-01-31,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,296294
4,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,377316
5,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,377316
6,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,377316
7,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,377316
8,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,377316
9,2024-01-28,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,296561
10,2024-01-28,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,296561
11,2024-01-28,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,296561
12,2024-01-28,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,296561
13,2024-01-26,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,820225
14,2024-01-25,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,320225
15,2024-01-23,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,321868
16,2024-01-20,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,247296
17,2024-01-18,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,280110
18,2024-01-17,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,85110
19,2024-01-17,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,85110
20,2024-01-17,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,85110
21,2024-01-16,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,0
22,2024-01-31,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,0
23,2024-01-31,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,0
24,2024-01-31,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,0
25,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,0
26,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,0
27,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,0
28,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,0
29,2024-01-28,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,0
30,2024-01-28,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,0
31,2024-01-28,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,0
32,2024-01-25,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,0
33,2024-01-23,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,0
34,2024-01-18,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,0
35,2024-01-18,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,0
36,2024-01-18,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,0
37,2024-01-17,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,0
38,2024-01-17,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,0
39,2024-01-17,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,0
40,2024-01-16,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,0
41,2024-01-31,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,0
42,2024-01-31,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,0
43,2024-01-31,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,0
44,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,0
45,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,0
46,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,0
47,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,0
48,2024-01-28,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,0
49,2024-01-28,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,0
50,2024-01-28,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,0
51,2024-01-25,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,0
52,2024-01-23,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,0
53,2024-01-18,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,0
54,2024-01-18,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,0
55,2024-01-18,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,0
56,2024-01-17,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,0
57,2024-01-17,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,0
58,2024-01-17,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,0
59,2024-01-16,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,0
60,2024-01-31,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,270216
61,2024-01-31,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,270216
62,2024-01-29,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,274600
63,2024-01-29,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,274600
64,2024-01-29,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,274600
65,2024-01-29,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,274600
66,2024-01-29,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,274600
67,2024-01-28,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,302385
68,2024-01-25,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,320425
69,2024-01-23,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,327682
70,2024-01-18,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,280110
71,2024-01-18,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,280110
72,2024-01-17,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,85110
73,2024-01-17,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,85110
74,2024-01-17,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,85110
75,2024-01-16,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,0
76,2024-01-31,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,270216
77,2024-01-31,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,270216
78,2024-01-29,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,274600
79,2024-01-29,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,274600
80,2024-01-29,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,274600
81,2024-01-29,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,274600
82,2024-01-29,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,274600
83,2024-01-28,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,302385
84,2024-01-25,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,320425
85,2024-01-23,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,327682
86,2024-01-18,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,280110
87,2024-01-18,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,280110
88,2024-01-17,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,85110
89,2024-01-17,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,85110
90,2024-01-17,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,85110
91,2024-01-16,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,0
92,2024-01-31,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,296294
93,2024-01-31,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,296294
94,2024-01-31,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,296294
95,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,377316
96,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,377316
97,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,377316
98,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,377316
99,2024-01-29,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,377316
100,2024-01-28,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,296561
101,2024-01-28,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,296561
102,2024-01-28,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,296561
103,2024-01-28,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,296561
104,2024-01-26,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,820225
105,2024-01-25,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,320225
106,2024-01-23,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,321868
107,2024-01-20,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,247296
108,2024-01-18,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,280110
109,2024-01-17,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,85110
110,2024-01-17,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,85110
111,2024-01-17,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,85110
112,2024-01-16,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,260618.88,0
113,2024-01-31,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200618.08,201417
114,2024-01-29,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200618.08,308009
115,2024-01-29,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200618.08,308009
116,2024-01-28,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200618.08,0
117,2024-01-28,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200618.08,0
118,2024-01-28,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200618.08,0
119,2024-01-20,William,JPMorgan Chase Bank,778901000056341009,2023-12-30_2024-01-31,200618.08,0
