Serial No,Date,Payee Or Payor,Method,Check Number,Purpose,Deposit,Disbursement,Balance,Client,Notes,Reconciled To Ledger,Reconciled To Bank Statement
1,2024-01-29,sdvcsddv,check,1662,acdaca,0.00,5814.00,160104.96,sss,,No,Yes
2,2024-01-29,cdscsd,check,1659,cddscvds,0.00,4571.00,165918.96,sss,,No,No
3,2024-01-25,vsdvsdvs,check,1652,vsvs,0.00,7457.04,170489.96,sss,,No,No
4,2024-01-17,vsdvsdv,check,1648,dsvsdvs,0.00,7500.00,177947.00,sss,,No,No
5,2024-01-17,csdvsd,check,1647,vsvdsv,0.00,7500.00,185447.00,sss,,No,No
6,2024-01-10,dsds,check,32432,dsfsdv,190000.00,0.00,192947.00,sss,,No,No
7,2024-01-16,Test,check,1649,Testing Purpose,0.00,10000.00,155800.00,Test-1,,No,Yes
8,2024-01-17,Test,check,1648,Testing Purpose,0.00,7500.00,165800.00,Test-1,,No,Yes
9,2024-01-17,Test,check,1647,Testing ,0.00,7500.00,173300.00,Test-1,,No,Yes
10,2024-01-16,Test,check,1646,Test Purpose,0.00,9200.00,180800.00,Test-1,,No,Yes
11,2024-01-17,Test,check,TEST0001,Remote online deposit,190000.00,0.00,190000.00,Test-1,,No,No
