Serial No,Date,Payee Or Payor,Method,Check Number,Purpose,Deposit,Disbursement,Balance,Client,Notes,Reconciled To Ledger,Reconciled To Bank Statement
1,2024-01-31,test,check,1800948568,Ck# Payments Ck# Payme SH-O4CU1DE647 CCD ID: 1800948568,3000.00,0.00,278693.08,Sinjan Chakraborty,,No,Yes
2,2024-01-29,test,check,1659,Check payment,0.00,4500.00,275693.08,Sinjan Chakraborty,,No,Yes
3,2024-01-26,test,check,1658,Check payment,0.00,2000.00,280193.08,Sinjan Chakraborty,,No,Yes
4,2024-01-25,test,check,1657,Check payment,0.00,2048.65,282193.08,Sinjan Chakraborty,,No,Yes
5,2024-01-23,test,electronic_transfer,test003,Remote Online Deposit ,74571.60,0.00,284241.73,test-1,,No,Yes
6,2024-01-24,test,check,1656,Check payment,0.00,4040.00,209670.13,test-1,,No,Yes
7,2024-01-24,test,check,1655,Check payment,0.00,8000.00,213710.13,test-1,,No,Yes
8,2024-01-23,test,check,1654,Check payment,0.00,7500.00,221710.13,Sinjan Chakraborty,,No,Yes
9,2024-01-23,test,check,1653,Check payment,0.00,7500.00,229210.13,test-1,,No,Yes
10,2024-01-22,test,check,1652,Check payment,0.00,7500.00,236710.13,test-1,,No,Yes
11,2024-01-19,test,check,1650,Check payment,0.00,7500.00,244210.13,test-1,,No,Yes
12,2024-01-18,test,check,1650,Check payment,0.00,10000.00,251710.13,Sinjan Chakraborty,,No,Yes
13,2024-01-18,test,check,1649,Check payment,0.00,10000.00,261710.13,Sinjan Chakraborty,,No,Yes
14,2024-01-17,test,check,1648,Check payment,0.00,7500.00,271710.13,test-1,,No,Yes
15,2024-01-17,test,check,1647,Check payment,0.00,7500.00,279210.13,Sinjan Chakraborty,,No,Yes
16,2024-01-17,test,electronic_transfer,test001, Remote Online Deposit (3) ,190000.00,0.00,286710.13,Sinjan Chakraborty,,No,Yes
17,2024-01-16,test,check,1646,Check payment,0.00,8200.00,96710.13,Sinjan Chakraborty,,No,Yes
